TNS Name,RA,DEC,Host Name,Host Redshift,Disc. Internal Name,Discovery Mag/Flux,Discovery Date (UT)
AT 2022cqg,10:54:15.762,+57:43:43.81,2MFGC 8494,0.0752,GSNST-22aj,19.8,2022-02-11 23:54:17.856
AT 2022cpf,20:37:52.682,-84:37:23.58,LEDA 219218,,GSNST-22ai,18.58,2022-02-08 07:09:29.664
AT 2022col,13:46:48.542,-30:02:26.11,2MASX J13464643-3002453,0.01507,GSNST-22ah,18.638,2022-02-02 04:08:34.368
AT 2022bts,11:49:26.300,+22:21:41.30,Unknown,,GSNST-22af,19.382,2022-02-08 07:59:57.120
AT 2022bpm,06:23:15.601,-87:35:11.23,CSRG 519,,GSNST-22ae,18.12,2022-01-29 07:09:15.840
AT 2022bcg,05:49:33.770,-87:40:01.50,SUMSS J054924-874001,,GSNST-22ad,18.16,2022-01-29 07:09:15.840
AT 2021ahop,10:53:35.030,+57:25:42.14,2XMM J105334.9+572542,0.787,GSNST-22aa,19.72,2021-12-28 01:14:00.096
AT 2021agho,01:02:45.760,+58:24:11.13,7C 0059+5808,0.644,GSNST-21dc,18.67,2021-12-13 23:19:32.160
AT 2021aghn,01:54:35.030,+71:20:37.40,2MASX J01543704+7120501,,GSNST-21db,19.46,2021-12-12 02:39:21.888
AT 2021aggp,11:20:28.458,+67:14:38.47,2MASX J11202845+6714384,0.115,GSNST-21da,18.57,2021-12-13 01:39:16.416
AT 2021aggo,22:14:35.640,+89:14:41.80,2MASX J22145218+8914531,,GSNST-21cz,19.74,2021-12-11 22:39:07.776
AT 2021agfo,00:47:00.428,+56:57:42.39,ICRF J004700.4+565742,0.747,GSNST-21cy,21.11,2021-12-12 02:58:48.288
AT 2021agfn,07:38:07.390,+17:42:18.99,PKS0735+17,0.45,GSNST-21cx,14.99,2021-12-12 03:49:32.160
AT 2021aeyd,22:30:24.373,-80:01:32.62,LEDA 228745,,GSNST-21cu,18.98,2021-11-17 03:08:54.816
AT 2021aeur,23:29:50.677,-21:16:34.08,LEDA 830398,,GSNST-21cs,19.19,2021-11-10 02:24:44.064
AT 2021aejw,07:58:52.900,+26:36:47.81,SDSS J075852.91+263647.7,2.15926,GSNST-21cq,20.722,2021-11-12 08:24:56.160
AT 2021acei,21:48:23.900,-57:08:33.70,2MASX J21482351-5708413,0.081328,GSNST-21cn,20.7,2021-10-16 03:53:30.624
AT 2021abuh,00:44:26.680,-84:22:39.98,QSO B0044-846,1.035,GSNST-21cm,19.25,2021-10-17 01:38:40.992
AT 2021abuc,17:20:21.810,-35:52:48.20,IGR J17204-3554,-0.000021,GSNST-21ck,19.989,2021-10-17 00:58:54.624
AT 2021abox,18:58:46.190,-69:43:34.60,LEDA 277482,,GSNST-21ci,16.3,2021-10-16 03:28:50.592
AT 2021zec,16:41:50.700,-45:32:25.40,IGR J16418-4532,,GSNST-21cj,19.55,2021-09-18 08:15:00.864
AT 2021zeb,21:03:11.698,-38:06:19.06,2MASX J21031115-3806281,0.04754,GSNST-21ci,18.26,2021-09-15 03:49:50.304
AT 2021zdn,00:42:38.730,+41:08:44.80,M31,-0.001,GSNST-21cg,20.71,2021-09-19 00:58:32.160
AT 2021zdm,00:43:15.484,+41:25:40.53,M31,-0.001,GSNST-21ef,19.502,2021-09-19 00:58:32.160
AT 2021zdl,05:20:55.201,+01:16:29.01,Unknown,,GSNST-21ce,20.89,2021-09-19 00:30:10.944
AT 2021zcd,22:13:44.830,-72:50:28.20,2MASX J22135427-7250362,0.03022,GSNST-21cd,19.542,2021-09-16 05:33:50.112
AT 2021yzf,18:55:52.430,-69:49:10.72,Unknown,,GSNST-21cc,17.81,2021-09-15 02:03:46.944
AT 2021xwh,00:43:28.760,+41:21:42.60,M31,-0.001,GSNST-21bx,20.532,2021-09-02 22:58:28.128
AT 2021xvr,19:57:23.153,-55:08:19.66,ESO 185-31,0.016514,GSNST-21bw,18.04,2021-09-03 04:28:50.880
AT 2021xoq,23:01:43.750,-61:29:39.10,2MFGC 17306,0.0266,GSNST-21bu,18.63,2021-09-01 03:24:27.072
AT 2021xje,21:52:23.221,-68:01:52.30,LEDA 289178,,GSNST-21br,18.2,2021-08-29 02:29:34.368
AT 2021vth,23:02:54.565,-62:16:08.08,Unknown,,GSNST-21bp,19.088,2021-08-10 03:33:27.936
AT 2021uxa,23:58:59.144,-79:45:41.98,2MASX J23585904-7945391,0.05571,GSNST-21bq,17.999,2021-08-04 04:03:19.872
AT 2021tmn,20:48:16.785,-52:07:46.71,Unknown,,GSNST-21bo,20.661,2021-07-14 08:30:01.152
AT 2021qee,12:36:20.920,+25:59:38.97,NGC 4565,0.00421,GSNST-21bn,16.93,2021-06-16 22:55:01.632
AT 2021pql,22:48:21.300,-71:49:33.90,2dFGRS TGS873Z382,0.128,GSNST-21bm,19.34,2021-06-11 03:03:36.000
AT 2021oge,17:02:17.500,+78:45:51.80,2MASX J17021768+7845520,0.0664,GSNST-21bl,17.877,2021-06-02 02:24:53.568
AT 2021nzv,17:14:54.396,+64:00:24.24,Unknown,,GSNST-21bk,20.33,2021-05-31 02:13:31.008
AT 2021hut,13:36:44.289,-03:29:52.46,2MASX J13364424-0329521,0.0532,GSNST-21bj,16.52,2021-04-03 00:28:40.224
AT 2021hun,13:50:33.200,-30:14:22.50,LEDA 719668,,GSNST-21bi,19.44,2021-04-02 08:08:40.704
AT 2021hsz,11:46:34.590,+11:07:33.58,SDSS J114634.60+110733.7,,GSNST-21bh,19.822,2021-04-02 00:39:55.008
AT 2021hof,11:22:19.730,+06:56:48.10,2MASX J11221992+0656364,0.099,GSNST-21bg,19.89,2021-04-01 00:23:24.864
AT 2021hkw,10:46:53.008,+12:28:51.53,NGC 3389,0.00433,GSNST-21bf,16.72,2021-03-31 04:55:22.368
AT 2021hdp,15:22:43.278,+41:19:39.35,Unknown,,GSNST-21be,20.661,2021-03-19 23:49:12.864
AT 2021gws,14:41:01.696,+39:00:13.73,2MASX J14410012+3900187,0.17616,R. H. Nelson,20.622,2021-03-20 00:18:20.736
AT 2021gvn,15:33:56.302,+31:08:53.61,2MASX J15335503+3108504,0.067659,GSNST-21bd,20.199,2021-03-19 01:29:46.176
AT 2021gvk,15:33:47.853,+30:52:43.65,2MASX J15334661+3052335,0.06616,GSNST-21bc,19.933,2021-03-19 01:29:46.176
AT 2021ggs,15:53:10.166,+27:33:15.82,LEDA 1811605,,GSNST-21ba,20.688,2021-03-19 00:29:00.096
AT 2021gbt,15:14:58.180,+30:41:51.50,Unknown,,GSNST-21ba,20.06,2021-03-16 23:24:21.600
AT 2021flf,14:00:23.436,+28:27:16.16,2MASX J14002065+2827348,0.062,GSNST-21az,20.911,2021-03-10 01:03:25.920
AT 2021fle,13:56:40.865,+30:55:05.08,Unknown,,GSNST-21ay,19.166,2021-03-10 01:13:37.632
AT 2021fld,13:55:17.600,+20:16:27.50,Unknown,,GSNST-ax,20.571,2021-03-10 00:58:43.392
AT 2021flb,10:06:22.526,+11:07:40.02,WISEA J100622.91+110748.8,,GSNST-21aw,20.066,2021-03-11 04:05:06.144
AT 2021fhg,15:44:42.860,+46:12:45.50,2MASX J15444348+4612521,0.06017,GSNST-21av,19.41,2021-03-04 02:23:52.224
AT 2021ezx,10:41:44.356,-46:02:36.16,WISEA J104144.43-460235.6,,GSNST-21au,18.03,2021-03-07 05:09:02.304
AT 2021elc,13:36:10.776,+30:02:48.61,LEDA 1888147,0.02569,GSNST-21at,18.9,2021-03-03 20:32:53.088
AT 2021bxs,13:37:16.799,+29:24:17.70,2MASX J13371736+2923577,0.11281,GSNST-21as,19.7622,2021-01-26 02:58:11.136
AT 2021bgi,12:30:35.404,+42:57:55.58,2MASX J12303540+4257559,0.06559,GSNST-21ar,16.89,2021-01-27 01:08:36.960
AT 2021bgh,12:48:03.400,+38:44:58.20,LEDA 2135404,,GSNST-21aq,19.623,2021-01-26 01:58:39.360
AT 2021bgg,12:37:45.088,+43:24:27.77,KISS F1238-4171,0.03517,GSNST-21ap,19.67,2021-01-26 02:53:32.064
AT 2021bgf,12:29:55.464,+42:34:36.72,2MASX J12295580+4234135,0.04901,GSNST-21an,20.55,2021-01-26 02:48:52.992
AT 2021bfr,10:09:19.891,+10:46:34.24,2MASX J10092013+1046355,0.05301,GSNST-21an,17.23,2021-01-26 00:23:17.952
AT 2021bfq,10:08:56.343,+18:18:39.46,LEDA 1556060,0.03462,GSNST-21am,20.14,2021-01-24 23:50:00.384
AT 2021beh,13:36:09.481,+29:26:40.97,NVSS J133608+292644,0.09319,GSNST-21al,19.442,2021-01-25 02:03:27.072
AT 2021bbe,12:39:09.142,+41:52:13.69,2MASX J12390832+4152247,,GSNST-21ak,20,2021-01-23 02:38:55.968
AT 2021ayl,12:48:35.015,+38:48:03.03,Unknown,,GSNST-21aj,20.62,2021-01-19 02:48:33.120
AT 2021axd,09:28:40.900,+27:12:49.20,Unknown,,GSNST-21ai,20.542,2021-01-17 00:05:04.128
AT 2021avf,12:39:09.724,+42:44:20.99,2MASX J12391066+4244490,0.07252,GSNST-21ah,20.3011,2021-01-17 01:08:34.368
AT 2021aoh,12:33:55.390,+01:51:14.46,2dFGRS TGN388Z214,0.0758,GSNST-21ag,20.622,2021-01-16 02:34:02.208
AT 2021aoa,05:49:40.164,-25:18:49.76,LEDA 75466,0.043958,GSNST-21af,19.421,2021-01-14 05:48:40.032
AT 2021anz,02:02:23.300,+19:16:46.60,LEDA 1586691,,GSNST-21ae,19.293,2021-01-05 20:53:32.928
AT 2021aju,02:01:15.195,-64:59:12.95,LEDA 317323,,GSNST-21ad,18.071,2021-01-14 05:53:41.568
AT 2021ajr,06:10:53.826,-33:50:49.50,LEDA 670700,,GSNST-21ac,19.721,2021-01-14 06:09:04.320
AT 2021kz,10:22:02.653,-06:41:58.88,2MASX J10220170-0642107,,GSNST-21ab,20.501,2021-01-06 04:48:53.568
AT 2021U,03:03:06.578,+03:05:32.00,Unknown,,GSNST-21aa,19.15,2021-01-01 22:58:54.048
AT 2020aera,04:16:59.299,-42:53:23.50,2MASX J04165880-4253325,0.07441,GSNST-20do,18.56,2020-12-29 04:38:27.168
AT 2020aeqz,01:44:23.800,-29:56:25.60,2dFGRS TGS382Z035,0.0096,GSNST-20dn,19.25,2020-12-29 02:13:37.920
AT 2020aepk,00:33:43.000,+50:48:20.01,Unknown,,RA_Kendurkar,21.014,2020-12-28 15:32:04.992
AT 2020aebg,07:03:51.917,-77:08:56.25,Unknown,,GSNST-20dm,19.64,2020-12-27 15:15:35.712
AT 2020adko,08:48:52.550,+24:40:49.83,LEDA 1713575,,GSNST-20dl,19.84,2020-12-19 01:02:47.040
AT 2020adah,00:16:19.800,+00:30:36.90,2MASX J00162059+0030313,0.15396,GSNST-20dk,20.58,2020-12-11 19:30:25.056
AT 2020ackd,09:32:50.061,+31:57:42.59,Unknown,,GSNST-20dj,19.7,2020-12-11 22:56:15.936
AT 2020aawx,01:43:44.900,-29:54:21.29,2dFGRS TGS301Z096,0.0613,GSNST-20dg,19.46,2020-11-24 22:09:27.072
AT 2020zbu,03:04:21.596,+05:35:36.48,Unknown,,GSNST-20dg,19.23,2020-11-10 03:20:14.784
AT 2020zbs,03:03:15.176,+06:00:04.29,Unknown,,GSNST-20df,19.54,2020-11-10 00:29:55.392
AT 2020zbq,03:01:31.812,+05:42:43.70,Unknown,,GSNST-20de,19.9,2020-11-09 18:35:04.704
AT 2020zbp,02:58:51.602,+06:22:06.56,2MASX J02585105+0622259,0.0451,GSNST-20dd,19.24,2020-11-09 17:20:24.000
AT 2020zbl,03:42:38.668,+15:38:29.51,2MASX J03423918+1538365,0.03128,GSNST-20dc,18.19,2020-11-09 05:54:50.688
AT 2020yzt,03:40:33.140,+14:38:06.00,2MASX J03403454+1437372,,GSNST-20db,19.93,2020-11-07 22:21:26.784
AT 2020yzr,02:23:51.170,+21:21:44.20,Unknown,,GSNST-20da,18.43,2020-11-06 18:02:36.384
AT 2020yzm,03:39:35.752,-35:25:39.57,2XMM J033938.8-352509,0.046,GSNST-20cz,19.17,2020-11-06 23:41:21.120
AT 2020yyu,22:50:50.230,+14:32:59.34,Unknown,,GSNST-20cy,19.71,2020-11-05 23:16:39.360
AT 2020yyd,22:50:16.781,+13:53:00.05,SDSS J225015.96+135254.6,0.13107,GSNST-20cx,19.5,2020-11-05 21:12:40.320
AT 2020yke,05:27:03.300,+62:24:28.20,Unknown,,GSNST-20cv,19.79,2020-10-24 19:05:11.328
AT 2020ydc,00:01:09.735,+32:23:48.99,LEDA 1995081,,GSNST-20ct,19.38,2020-10-24 10:29:13.344
AT 2020ycs,05:07:05.345,+77:12:52.16,Unknown,,GSNST-20cs,17.09,2020-10-24 08:17:20.832
AT 2020yaj,04:00:14.710,-41:20:45.67,2MASX J04001487-4120449,0.057683,GSNST-20cr,16.61,2020-10-23 00:00:38.016
AT 2020xpi,01:17:26.500,-29:24:14.80,2dFGRS TGS295Z217,0.1186,GSNST-20cq,19.88,2020-10-18 17:41:10.752
AT 2020xjp,01:09:29.552,-27:35:21.93,2MASX J01093016-2735288,0.1057,GSNST-20cp,20.53,2020-10-18 19:41:57.120
AT 2020xap,23:40:30.877,+32:15:16.04,LEDA 1988223,,GSNST-20cn,19.12,2020-10-17 06:23:34.368
AT 2020wqo,23:50:04.526,+29:50:51.77,Unknown,,GSNST-20cn,19.29,2020-10-14 23:05:02.976
AT 2020vvz,23:55:12.063,+30:03:03.74,LEDA 1888176,,GSNST-20cm,19.83,2020-10-12 07:45:17.568
AT 2020vqw,00:06:17.442,+33:45:37.21,LEDA 2038332,,GSNST-20ck,19.47,2020-10-11 07:12:57.024
AT 2020vgu,01:24:15.585,-09:12:44.72,2MASX J01241547-0912287,0.10615,GSNST-20ck,19.58,2020-10-08 20:02:43.008
AT 2020vea,01:19:29.585,-08:27:22.14,2MASX J01193095-0827165,0.075,GSNST-20cj,19.62,2020-10-08 18:00:30.240
AT 2020uyf,07:18:03.230,+40:23:04.30,LEDA 2164980,,GSNST-20ci,18.69,2020-10-05 19:50:44.160
AT 2020usf,07:59:45.915,+37:54:55.01,2MASX J07594772+3754332,0.042,GSNST-20ch,19.77,2020-10-03 08:59:32.352
AT 2020urs,07:52:13.819,+38:29:55.55,2MASX J07521512+3829527,0.07142,GSNST-20cg,19.89,2020-10-02 22:33:55.872
AT 2020urp,07:48:10.775,+39:07:36.64,2MASX J07480865+3907315,0.13264,GSNST-20cf,19.2,2020-10-02 22:00:33.984
AT 2020uro,07:34:16.596,+39:43:35.34,LEDA 2154603,,GSNST-20ce,18.87,2020-10-02 21:17:35.808
AT 2020unf,23:09:08.590,+20:04:00.56,Unknown,,GSNST-20cd,19.03,2020-09-30 20:59:28.896
AT 2020une,21:22:05.564,+13:01:22.31,2MASX J21220488+1301312,,GSNST-20cc,18.88,2020-09-30 19:36:00.288
AT 2020ula,00:40:52.427,+02:50:39.54,MCG+00-02-122,0.018045,Robyn-A-1,18.855,2020-09-29 04:57:08.640
AT 2020roh,17:12:35.698,+38:01:21.38,IC 1245,,GSNST-20cb,19.33,2020-08-18 11:07:05.000
AT 2020rml,01:24:27.398,+33:47:56.53,NGC 513,,GSNST-20ca,18.11,2020-08-16 11:18:20.000
AT 2020nsr,01:25:33.057,+33:40:10.30,NGC 528,,GSNST-20bz,18.12,2020-06-27 14:24:15.000
AT 2020nma,14:34:45.158,+33:14:01.33,2MASX J14344532+3313461,0.073,GSNST-20by,18.61,2020-06-25 19:44:04.128
AT 2020nkn,13:27:55.123,+37:36:21.01,2MASX J13275397+3736210,0.055265,GSNST-20bx,19.33,2020-06-25 06:45:56.160
AT 2020nhs,13:24:42.990,+32:14:45.29,2MASX J13244376+3214441,0.06001,GSNST-20bw,19.16,2020-06-23 18:12:43.776
AT 2020nby,16:08:42.641,+58:25:46.51,LEDA 2578617,,GSNST-20bu,18.6,2020-06-20 18:26:34.080
AT 2020lqd,17:23:25.034,+32:24:33.91,LEDA 60188,,GSNST-20bv,17,2020-06-02 20:13:20.000
AT 2020lnf,12:58:11.274,+26:23:54.19,NGC 4849,,GSNST-20bt,16.37,2020-06-01 11:37:10.000
AT 2020lmv,16:52:30.221,+40:13:06.88,2MASX J16522934+4013140,0.03412,GSNST-20bs,19.17,2020-06-01 09:26:27.168
AT 2020lmu,17:07:08.131,+29:38:37.37,Unknown,,GSNST-20br,19.46,2020-06-01 08:57:40.896
AT 2020lmb,17:07:48.491,+32:30:03.83,LEDA 1999758,,GSNST-20bq,19.46,2020-05-31 18:56:53.664
AT 2020kyi,16:56:33.515,+39:30:59.59,SDSS J165632.67+393037.2,0.10845,GSNST-20bp,19.86,2020-05-24 17:39:46.080
AT 2020kvs,16:56:48.359,+62:28:31.26,2MASX J16564384+6228229,0.08082,GSNST-20bo,19.25,2020-05-23 16:53:03.264
AT 2020khl,14:36:22.292,+55:07:41.57,Unknown,,GSNST-20bn,19.277,2020-05-18 08:07:35.040
